Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed
27722,02-03-2023 16:00,03-01-2023 01:00,01-03-2023 08:53,Hyderabad,555,ASSAULT,30,M,None,Violent Crime,18,No,
27723,03-03-2023 00:00,03-01-2023 02:00,01-03-2023 02:47,Hyderabad,339,COUNTERFEITING,43,F,Poison,Other Crime,13,No,
27724,01-03-2023 13:00,03-01-2023 03:00,01-03-2023 19:06,Rajkot,117,COUNTERFEITING,29,F,Poison,Other Crime,4,No,
27725,03-03-2023 02:00,03-01-2023 04:00,01-03-2023 12:37,Bhopal,412,CYBERCRIME,35,F,None,Other Crime,16,No,
27726,03-03-2023 08:00,03-01-2023 05:00,01-03-2023 13:17,Delhi,154,FIREARM OFFENSE,14,F,None,Fire Accident,11,No,
27727,02-03-2023 05:00,03-01-2023 06:00,02-03-2023 05:56,Visakhapatnam,443,DOMESTIC VIOLENCE,75,M,Poison,Violent Crime,1,No,
27728,03-03-2023 21:00,03-01-2023 07:00,01-03-2023 16:40,Mumbai,408,FIREARM OFFENSE,57,F,None,Fire Accident,13,No,
27729,03-03-2023 19:00,03-01-2023 08:00,01-03-2023 11:47,Delhi,352,FRAUD,72,F,Other,Other Crime,9,No,
27730,01-03-2023 10:00,03-01-2023 09:00,01-03-2023 17:29,Mumbai,544,KIDNAPPING,17,M,Firearm,Other Crime,7,No,
27731,02-03-2023 14:00,03-01-2023 10:00,02-03-2023 08:44,Pune,325,FIREARM OFFENSE,39,M,Other,Fire Accident,9,Yes,15-04-2023 14:00
27732,04-03-2023 10:00,03-01-2023 11:00,01-03-2023 20:39,Delhi,586,HOMICIDE,49,X,Firearm,Other Crime,12,No,
27733,01-03-2023 19:00,03-01-2023 12:00,02-03-2023 02:12,Kolkata,519,KIDNAPPING,70,X,Poison,Other Crime,2,No,
27734,03-03-2023 01:00,03-01-2023 13:00,01-03-2023 19:00,Mumbai,330,VANDALISM,18,X,Other,Other Crime,14,No,
27735,03-03-2023 08:00,03-01-2023 14:00,02-03-2023 13:52,Nagpur,523,VANDALISM,21,M,Explosives,Other Crime,4,Yes,21-03-2023 08:00
27736,04-03-2023 01:00,03-01-2023 15:00,02-03-2023 04:48,Chennai,211,CYBERCRIME,28,X,Other,Other Crime,13,Yes,22-03-2023 01:00
27737,02-03-2023 01:00,03-01-2023 16:00,01-03-2023 19:40,Hyderabad,543,ARSON,50,X,None,Fire Accident,12,Yes,19-05-2023 01:00
27738,04-03-2023 14:00,03-01-2023 17:00,01-03-2023 21:45,Delhi,192,SHOPLIFTING,40,X,Explosives,Other Crime,19,Yes,17-05-2023 14:00
27739,03-03-2023 05:00,03-01-2023 18:00,02-03-2023 05:00,Ahmedabad,292,KIDNAPPING,42,X,Explosives,Other Crime,1,No,
27740,02-03-2023 11:00,03-01-2023 19:00,02-03-2023 09:46,Bhopal,355,FRAUD,51,X,None,Other Crime,4,Yes,18-05-2023 11:00
27741,04-03-2023 07:00,03-01-2023 20:00,02-03-2023 14:22,Ghaziabad,268,DOMESTIC VIOLENCE,72,X,Knife,Violent Crime,2,Yes,13-04-2023 07:00
27742,01-03-2023 22:00,03-01-2023 21:00,02-03-2023 17:51,Rajkot,136,EXTORTION,35,X,Explosives,Other Crime,5,No,
27743,04-03-2023 01:00,03-01-2023 22:00,02-03-2023 16:46,Kolkata,469,FRAUD,45,M,Firearm,Other Crime,6,Yes,12-04-2023 01:00
27744,04-03-2023 12:00,03-01-2023 23:00,02-03-2023 20:18,Delhi,444,SEXUAL ASSAULT,58,X,Explosives,Violent Crime,9,No,
27745,03-03-2023 20:00,03-02-2023 00:00,02-03-2023 05:08,Jaipur,484,ILLEGAL POSSESSION,36,F,Firearm,Other Crime,10,Yes,25-03-2023 20:00
27746,02-03-2023 14:00,03-02-2023 01:00,02-03-2023 22:44,Mumbai,142,COUNTERFEITING,29,M,Poison,Other Crime,4,Yes,29-04-2023 14:00
27747,03-03-2023 02:00,03-02-2023 02:00,02-03-2023 20:21,Ahmedabad,242,KIDNAPPING,63,M,Firearm,Other Crime,4,Yes,21-05-2023 02:00
27748,03-03-2023 23:00,03-02-2023 03:00,02-03-2023 18:59,Chennai,344,SEXUAL ASSAULT,18,X,Blunt Object,Violent Crime,1,No,
27749,03-03-2023 02:00,03-02-2023 04:00,02-03-2023 20:32,Delhi,539,PUBLIC INTOXICATION,73,M,Knife,Other Crime,8,No,
27750,04-03-2023 20:00,03-02-2023 05:00,02-03-2023 16:17,Ahmedabad,298,BURGLARY,20,F,Other,Other Crime,8,Yes,04-04-2023 20:00
27751,04-03-2023 12:00,03-02-2023 06:00,02-03-2023 23:24,Mumbai,133,SHOPLIFTING,26,X,Explosives,Other Crime,18,Yes,02-04-2023 12:00
27752,02-03-2023 21:00,03-02-2023 07:00,02-03-2023 17:06,Lucknow,138,VEHICLE - STOLEN,47,X,Knife,Violent Crime,10,No,
27753,04-03-2023 08:00,03-02-2023 08:00,02-03-2023 19:32,Lucknow,521,FIREARM OFFENSE,57,X,Explosives,Fire Accident,4,Yes,21-05-2023 08:00
27754,03-03-2023 04:00,03-02-2023 09:00,02-03-2023 19:49,Mumbai,511,DOMESTIC VIOLENCE,26,M,Poison,Violent Crime,7,Yes,21-05-2023 04:00
27755,05-03-2023 08:00,03-02-2023 10:00,02-03-2023 10:59,Patna,299,PUBLIC INTOXICATION,13,M,Poison,Other Crime,11,Yes,24-03-2023 08:00
27756,04-03-2023 11:00,03-02-2023 11:00,03-03-2023 06:40,Nagpur,226,COUNTERFEITING,68,M,Knife,Other Crime,15,Yes,24-05-2023 11:00
27757,02-03-2023 19:00,03-02-2023 12:00,03-03-2023 05:53,Pune,242,VANDALISM,38,M,Poison,Other Crime,2,No,
27758,04-03-2023 22:00,03-02-2023 13:00,02-03-2023 20:20,Bangalore,560,VANDALISM,67,F,None,Other Crime,3,No,
27759,03-03-2023 09:00,03-02-2023 14:00,02-03-2023 23:10,Nagpur,297,PUBLIC INTOXICATION,55,M,Other,Other Crime,10,Yes,19-03-2023 09:00
27760,04-03-2023 17:00,03-02-2023 15:00,02-03-2023 20:17,Mumbai,108,COUNTERFEITING,72,F,Blunt Object,Other Crime,18,Yes,07-05-2023 17:00
27761,04-03-2023 10:00,03-02-2023 16:00,03-03-2023 05:04,Ahmedabad,210,FRAUD,79,M,Explosives,Other Crime,8,No,
27762,05-03-2023 03:00,03-02-2023 17:00,02-03-2023 17:20,Indore,381,FRAUD,20,X,Other,Other Crime,13,Yes,26-04-2023 03:00
27763,03-03-2023 19:00,03-02-2023 18:00,03-03-2023 00:13,Ahmedabad,215,KIDNAPPING,56,F,Knife,Other Crime,8,No,
27764,03-03-2023 05:00,03-02-2023 19:00,03-03-2023 14:53,Jaipur,198,KIDNAPPING,78,X,Other,Other Crime,1,Yes,03-04-2023 05:00
27765,05-03-2023 02:00,03-02-2023 20:00,03-03-2023 12:06,Delhi,309,ILLEGAL POSSESSION,58,F,Explosives,Other Crime,4,Yes,29-03-2023 02:00
27766,05-03-2023 15:00,03-02-2023 21:00,03-03-2023 01:57,Visakhapatnam,209,DRUG OFFENSE,26,M,Blunt Object,Other Crime,15,No,
27767,05-03-2023 07:00,03-02-2023 22:00,03-03-2023 05:16,Agra,190,FIREARM OFFENSE,16,X,Poison,Fire Accident,11,Yes,09-05-2023 07:00
27768,03-03-2023 13:00,03-02-2023 23:00,03-03-2023 09:19,Pune,343,VANDALISM,35,M,Knife,Other Crime,8,Yes,27-05-2023 13:00
27769,04-03-2023 21:00,03-03-2023 00:00,03-03-2023 13:17,Ahmedabad,380,ILLEGAL POSSESSION,74,F,None,Other Crime,9,No,
27770,04-03-2023 08:00,03-03-2023 01:00,03-03-2023 17:54,Ahmedabad,422,CYBERCRIME,74,X,Other,Other Crime,1,Yes,13-04-2023 08:00
27771,05-03-2023 08:00,03-03-2023 02:00,03-03-2023 05:01,Ahmedabad,183,IDENTITY THEFT,26,F,Poison,Violent Crime,7,Yes,07-05-2023 08:00
27772,05-03-2023 15:00,03-03-2023 03:00,03-03-2023 18:49,Rajkot,175,SHOPLIFTING,55,X,None,Other Crime,2,No,
27773,05-03-2023 13:00,03-03-2023 04:00,03-03-2023 20:25,Mumbai,183,KIDNAPPING,61,F,Poison,Other Crime,19,No,
27774,05-03-2023 11:00,03-03-2023 05:00,04-03-2023 01:14,Kolkata,107,BURGLARY,12,M,Knife,Other Crime,16,No,
27775,04-03-2023 15:00,03-03-2023 06:00,03-03-2023 12:00,Delhi,379,TRAFFIC VIOLATION,52,M,Blunt Object,Traffic Fatality,18,Yes,13-03-2023 15:00
27776,03-03-2023 19:00,03-03-2023 07:00,03-03-2023 22:00,Bhopal,597,ASSAULT,22,X,None,Violent Crime,1,Yes,08-05-2023 19:00
27777,04-03-2023 05:00,03-03-2023 08:00,03-03-2023 13:11,Kolkata,296,SHOPLIFTING,72,M,Explosives,Other Crime,8,Yes,17-05-2023 05:00
27778,05-03-2023 20:00,03-03-2023 09:00,03-03-2023 16:19,Hyderabad,396,VEHICLE - STOLEN,24,X,Other,Violent Crime,13,No,
27779,03-03-2023 13:00,03-03-2023 10:00,04-03-2023 01:15,Indore,414,COUNTERFEITING,28,F,Other,Other Crime,13,Yes,03-04-2023 13:00
27780,05-03-2023 20:00,03-03-2023 11:00,03-03-2023 15:58,Kolkata,154,SHOPLIFTING,22,X,Explosives,Other Crime,5,No,
27781,04-03-2023 12:00,03-03-2023 12:00,03-03-2023 21:12,Ahmedabad,226,DRUG OFFENSE,74,F,Blunt Object,Other Crime,8,Yes,20-03-2023 12:00
27782,05-03-2023 16:00,03-03-2023 13:00,04-03-2023 05:07,Hyderabad,264,HOMICIDE,33,M,Explosives,Other Crime,11,No,
27783,06-03-2023 02:00,03-03-2023 14:00,04-03-2023 08:49,Kolkata,482,KIDNAPPING,77,M,Explosives,Other Crime,11,Yes,31-03-2023 02:00
27784,05-03-2023 11:00,03-03-2023 15:00,04-03-2023 08:22,Kanpur,252,ILLEGAL POSSESSION,35,F,Blunt Object,Other Crime,1,Yes,14-03-2023 11:00
27785,03-03-2023 20:00,03-03-2023 16:00,04-03-2023 06:41,Mumbai,586,VANDALISM,23,F,Other,Other Crime,11,No,
27786,04-03-2023 23:00,03-03-2023 17:00,04-03-2023 06:11,Hyderabad,525,TRAFFIC VIOLATION,36,M,Poison,Traffic Fatality,15,Yes,29-03-2023 23:00
27787,04-03-2023 19:00,03-03-2023 18:00,04-03-2023 04:48,Hyderabad,470,FRAUD,19,X,Blunt Object,Other Crime,2,No,
27788,05-03-2023 20:00,03-03-2023 19:00,04-03-2023 01:13,Agra,344,KIDNAPPING,66,M,Knife,Other Crime,14,Yes,07-05-2023 20:00
27789,06-03-2023 01:00,03-03-2023 20:00,04-03-2023 05:25,Surat,510,DRUG OFFENSE,61,M,Knife,Other Crime,11,No,
27790,05-03-2023 17:00,03-03-2023 21:00,04-03-2023 08:28,Nagpur,516,ASSAULT,22,F,Poison,Violent Crime,18,Yes,27-04-2023 17:00
27791,05-03-2023 11:00,03-03-2023 22:00,04-03-2023 01:09,Ludhiana,573,COUNTERFEITING,74,F,Knife,Other Crime,8,Yes,23-03-2023 11:00
27792,04-03-2023 17:00,03-03-2023 23:00,04-03-2023 18:41,Bhopal,186,FIREARM OFFENSE,26,F,Poison,Fire Accident,8,Yes,31-03-2023 17:00
27793,04-03-2023 19:00,03-04-2023 00:00,04-03-2023 01:32,Kanpur,209,EXTORTION,20,F,Other,Other Crime,18,No,
27794,06-03-2023 18:00,03-04-2023 01:00,04-03-2023 13:35,Surat,223,KIDNAPPING,54,X,Other,Other Crime,7,No,
27795,06-03-2023 23:00,03-04-2023 02:00,04-03-2023 08:56,Jaipur,565,FIREARM OFFENSE,36,F,Explosives,Fire Accident,5,Yes,02-06-2023 23:00
27796,06-03-2023 23:00,03-04-2023 03:00,04-03-2023 21:54,Mumbai,439,DRUG OFFENSE,54,X,Firearm,Other Crime,16,Yes,18-04-2023 23:00
27797,04-03-2023 18:00,03-04-2023 04:00,04-03-2023 16:34,Delhi,388,IDENTITY THEFT,47,F,Blunt Object,Violent Crime,17,No,
27798,05-03-2023 06:00,03-04-2023 05:00,05-03-2023 04:04,Jaipur,247,EXTORTION,13,M,Firearm,Other Crime,8,Yes,05-05-2023 06:00
27799,05-03-2023 19:00,03-04-2023 06:00,04-03-2023 09:36,Chennai,260,ASSAULT,23,X,Firearm,Violent Crime,14,Yes,19-03-2023 19:00
27800,05-03-2023 14:00,03-04-2023 07:00,04-03-2023 08:40,Lucknow,122,ASSAULT,49,M,Knife,Violent Crime,9,Yes,09-04-2023 14:00
27801,06-03-2023 22:00,03-04-2023 08:00,04-03-2023 23:26,Ghaziabad,139,ARSON,68,M,Explosives,Fire Accident,15,Yes,11-05-2023 22:00
27802,06-03-2023 14:00,03-04-2023 09:00,05-03-2023 03:33,Ahmedabad,260,HOMICIDE,34,M,Knife,Other Crime,9,Yes,09-09-2024 14:00
27803,05-03-2023 08:00,03-04-2023 10:00,04-03-2023 23:11,Pune,424,IDENTITY THEFT,13,M,Other,Violent Crime,13,No,
27804,04-03-2023 21:00,03-04-2023 11:00,05-03-2023 03:31,Patna,561,PUBLIC INTOXICATION,69,M,Knife,Other Crime,3,No,
27805,04-03-2023 18:00,03-04-2023 12:00,05-03-2023 10:02,Hyderabad,461,DOMESTIC VIOLENCE,58,X,Knife,Violent Crime,18,No,
27806,06-03-2023 02:00,03-04-2023 13:00,04-03-2023 19:27,Hyderabad,101,VEHICLE - STOLEN,38,F,None,Violent Crime,8,Yes,10-04-2023 02:00
27807,05-03-2023 16:00,03-04-2023 14:00,05-03-2023 07:35,Delhi,460,VEHICLE - STOLEN,67,X,Knife,Violent Crime,2,No,
27808,05-03-2023 20:00,03-04-2023 15:00,05-03-2023 01:38,Bangalore,240,ARSON,74,X,Other,Fire Accident,12,Yes,21-03-2023 20:00
27809,07-03-2023 06:00,03-04-2023 16:00,04-03-2023 22:06,Hyderabad,364,ROBBERY,67,X,Knife,Violent Crime,9,Yes,03-08-2023 06:00
27810,04-03-2023 20:00,03-04-2023 17:00,04-03-2023 18:31,Mumbai,433,SEXUAL ASSAULT,57,M,Firearm,Violent Crime,15,Yes,27-02-2025 20:00
27811,06-03-2023 19:00,03-04-2023 18:00,04-03-2023 22:34,Bangalore,394,VANDALISM,31,X,Explosives,Other Crime,4,Yes,13-05-2023 19:00
27812,05-03-2023 12:00,03-04-2023 19:00,05-03-2023 13:01,Delhi,393,DRUG OFFENSE,55,F,Poison,Other Crime,2,No,
27813,05-03-2023 11:00,03-04-2023 20:00,05-03-2023 07:09,Delhi,171,HOMICIDE,22,M,Blunt Object,Other Crime,2,Yes,03-05-2024 11:00
27814,07-03-2023 19:00,03-04-2023 21:00,04-03-2023 21:02,Mumbai,297,DOMESTIC VIOLENCE,16,X,Firearm,Violent Crime,16,Yes,01-04-2023 19:00
27815,07-03-2023 12:00,03-04-2023 22:00,05-03-2023 02:55,Faridabad,380,DRUG OFFENSE,57,M,Explosives,Other Crime,15,No,
27816,06-03-2023 05:00,03-04-2023 23:00,05-03-2023 21:50,Indore,315,FIREARM OFFENSE,32,F,None,Fire Accident,1,No,
27817,05-03-2023 01:00,03-05-2023 00:00,05-03-2023 06:48,Lucknow,171,CYBERCRIME,79,X,Knife,Other Crime,18,No,
27818,06-03-2023 01:00,03-05-2023 01:00,05-03-2023 22:14,Chennai,238,ARSON,66,X,Other,Fire Accident,8,No,
27819,06-03-2023 07:00,03-05-2023 02:00,05-03-2023 12:56,Mumbai,376,FIREARM OFFENSE,45,F,Blunt Object,Fire Accident,3,Yes,04-05-2023 07:00
27820,05-03-2023 17:00,03-05-2023 03:00,05-03-2023 20:47,Nashik,319,VEHICLE - STOLEN,23,M,Firearm,Violent Crime,19,No,
27821,06-03-2023 21:00,03-05-2023 04:00,05-03-2023 11:27,Hyderabad,163,FRAUD,27,X,Explosives,Other Crime,3,No,
27822,05-03-2023 17:00,03-05-2023 05:00,05-03-2023 13:54,Surat,209,CYBERCRIME,13,M,Firearm,Other Crime,17,No,
27823,07-03-2023 23:00,03-05-2023 06:00,06-03-2023 00:05,Pune,413,ILLEGAL POSSESSION,55,F,Firearm,Other Crime,5,No,
27824,05-03-2023 08:00,03-05-2023 07:00,05-03-2023 19:30,Mumbai,229,VEHICLE - STOLEN,72,F,Blunt Object,Violent Crime,4,No,
27825,06-03-2023 10:00,03-05-2023 08:00,05-03-2023 15:05,Ludhiana,496,CYBERCRIME,71,X,Blunt Object,Other Crime,8,No,
27826,07-03-2023 05:00,03-05-2023 09:00,05-03-2023 10:58,Mumbai,521,ILLEGAL POSSESSION,45,X,Poison,Other Crime,14,No,
27827,06-03-2023 14:00,03-05-2023 10:00,05-03-2023 10:07,Mumbai,526,CYBERCRIME,74,X,Poison,Other Crime,16,No,
27828,08-03-2023 06:00,03-05-2023 11:00,06-03-2023 07:47,Ahmedabad,122,DOMESTIC VIOLENCE,54,X,Blunt Object,Violent Crime,12,No,
27829,07-03-2023 03:00,03-05-2023 12:00,06-03-2023 01:49,Mumbai,502,ARSON,41,F,Blunt Object,Fire Accident,11,Yes,01-06-2023 03:00
27830,06-03-2023 23:00,03-05-2023 13:00,05-03-2023 16:00,Lucknow,350,FIREARM OFFENSE,57,F,Blunt Object,Fire Accident,19,Yes,28-03-2023 23:00
27831,07-03-2023 16:00,03-05-2023 14:00,05-03-2023 15:10,Chennai,194,BURGLARY,29,X,Knife,Other Crime,14,No,
27832,07-03-2023 16:00,03-05-2023 15:00,05-03-2023 19:11,Srinagar,203,SHOPLIFTING,30,F,None,Other Crime,1,No,
27833,07-03-2023 18:00,03-05-2023 16:00,05-03-2023 17:58,Surat,148,FRAUD,75,X,Poison,Other Crime,9,Yes,21-04-2023 18:00
27834,06-03-2023 10:00,03-05-2023 17:00,06-03-2023 15:41,Pune,431,BURGLARY,37,M,Poison,Other Crime,3,Yes,19-05-2023 10:00
27835,05-03-2023 21:00,03-05-2023 18:00,06-03-2023 10:15,Mumbai,561,ASSAULT,38,X,None,Violent Crime,12,No,
27836,07-03-2023 23:00,03-05-2023 19:00,06-03-2023 04:14,Rajkot,321,PUBLIC INTOXICATION,62,F,Firearm,Other Crime,13,Yes,03-04-2023 23:00
27837,08-03-2023 09:00,03-05-2023 20:00,06-03-2023 17:25,Kanpur,368,ARSON,54,F,Firearm,Fire Accident,11,No,
27838,08-03-2023 14:00,03-05-2023 21:00,05-03-2023 21:39,Mumbai,429,FRAUD,44,X,Poison,Other Crime,9,No,
27839,06-03-2023 07:00,03-05-2023 22:00,06-03-2023 11:12,Kolkata,385,ARSON,64,F,Poison,Fire Accident,13,No,
27840,07-03-2023 10:00,03-05-2023 23:00,06-03-2023 22:47,Hyderabad,351,SEXUAL ASSAULT,78,M,None,Violent Crime,4,No,
27841,08-03-2023 13:00,03-06-2023 00:00,06-03-2023 07:23,Surat,140,DOMESTIC VIOLENCE,54,F,Blunt Object,Violent Crime,12,Yes,04-05-2023 13:00
27842,06-03-2023 19:00,03-06-2023 01:00,06-03-2023 08:05,Hyderabad,540,IDENTITY THEFT,36,M,None,Violent Crime,5,No,
27843,07-03-2023 15:00,03-06-2023 02:00,06-03-2023 07:57,Mumbai,140,SEXUAL ASSAULT,48,F,Firearm,Violent Crime,18,No,
27844,09-03-2023 01:00,03-06-2023 03:00,07-03-2023 02:26,Mumbai,121,ARSON,27,F,Firearm,Fire Accident,10,No,
27845,08-03-2023 16:00,03-06-2023 04:00,06-03-2023 07:59,Kolkata,281,KIDNAPPING,31,X,Other,Other Crime,19,No,
27846,08-03-2023 00:00,03-06-2023 05:00,06-03-2023 07:38,Nagpur,115,COUNTERFEITING,12,M,Blunt Object,Other Crime,7,Yes,13-04-2023 00:00
27847,08-03-2023 03:00,03-06-2023 06:00,06-03-2023 21:47,Kolkata,351,FRAUD,17,F,Knife,Other Crime,7,No,
27848,08-03-2023 02:00,03-06-2023 07:00,06-03-2023 16:19,Kalyan,524,DRUG OFFENSE,42,F,Knife,Other Crime,13,Yes,15-05-2023 02:00
27849,09-03-2023 04:00,03-06-2023 08:00,07-03-2023 06:35,Delhi,494,HOMICIDE,72,M,Blunt Object,Other Crime,17,Yes,28-09-2024 04:00
27850,06-03-2023 14:00,03-06-2023 09:00,07-03-2023 02:08,Bhopal,594,DOMESTIC VIOLENCE,71,F,None,Violent Crime,11,No,
27851,08-03-2023 01:00,03-06-2023 10:00,06-03-2023 20:41,Mumbai,542,KIDNAPPING,26,X,Firearm,Other Crime,16,Yes,21-04-2023 01:00
27852,09-03-2023 06:00,03-06-2023 11:00,07-03-2023 02:57,Nashik,553,EXTORTION,41,M,None,Other Crime,6,Yes,20-04-2023 06:00
27853,09-03-2023 00:00,03-06-2023 12:00,07-03-2023 00:05,Hyderabad,244,ILLEGAL POSSESSION,42,M,Poison,Other Crime,7,No,
27854,09-03-2023 03:00,03-06-2023 13:00,06-03-2023 16:56,Delhi,198,DRUG OFFENSE,61,X,Other,Other Crime,16,Yes,30-03-2023 03:00
27855,07-03-2023 04:00,03-06-2023 14:00,07-03-2023 02:02,Bangalore,481,PUBLIC INTOXICATION,73,F,Knife,Other Crime,17,No,
27856,08-03-2023 02:00,03-06-2023 15:00,07-03-2023 02:07,Bangalore,462,IDENTITY THEFT,32,M,Other,Violent Crime,15,Yes,01-04-2023 02:00
27857,07-03-2023 16:00,03-06-2023 16:00,07-03-2023 05:41,Mumbai,150,ROBBERY,17,X,Poison,Violent Crime,15,No,
27858,06-03-2023 20:00,03-06-2023 17:00,07-03-2023 01:21,Delhi,379,SEXUAL ASSAULT,62,X,Poison,Violent Crime,17,No,
27859,07-03-2023 03:00,03-06-2023 18:00,07-03-2023 10:03,Hyderabad,512,DRUG OFFENSE,43,M,Blunt Object,Other Crime,5,Yes,31-03-2023 03:00
27860,09-03-2023 15:00,03-06-2023 19:00,07-03-2023 18:10,Thane,312,BURGLARY,52,X,Poison,Other Crime,9,No,
27861,07-03-2023 00:00,03-06-2023 20:00,07-03-2023 09:49,Mumbai,223,CYBERCRIME,34,X,Other,Other Crime,10,Yes,06-05-2023 00:00
27862,08-03-2023 15:00,03-06-2023 21:00,07-03-2023 02:59,Thane,121,TRAFFIC VIOLATION,53,F,Other,Traffic Fatality,1,Yes,12-03-2023 15:00
27863,09-03-2023 08:00,03-06-2023 22:00,07-03-2023 12:18,Lucknow,589,VEHICLE - STOLEN,34,X,Other,Violent Crime,10,Yes,15-04-2023 08:00
27864,08-03-2023 17:00,03-06-2023 23:00,07-03-2023 02:08,Bangalore,542,BURGLARY,23,M,Blunt Object,Other Crime,3,No,
27865,08-03-2023 07:00,03-07-2023 00:00,07-03-2023 11:44,Pune,233,ASSAULT,19,X,Explosives,Violent Crime,10,Yes,08-04-2023 07:00
27866,09-03-2023 23:00,03-07-2023 01:00,07-03-2023 13:56,Kolkata,527,ROBBERY,42,F,Knife,Violent Crime,16,Yes,22-06-2023 23:00
27867,09-03-2023 07:00,03-07-2023 02:00,07-03-2023 14:07,Bangalore,591,DRUG OFFENSE,79,X,Poison,Other Crime,19,No,
27868,07-03-2023 13:00,03-07-2023 03:00,07-03-2023 17:06,Mumbai,372,ROBBERY,41,X,Poison,Violent Crime,6,Yes,08-04-2023 13:00
27869,07-03-2023 14:00,03-07-2023 04:00,07-03-2023 12:46,Ludhiana,274,HOMICIDE,34,F,None,Other Crime,19,Yes,06-09-2024 14:00
27870,09-03-2023 15:00,03-07-2023 05:00,07-03-2023 17:35,Surat,123,PUBLIC INTOXICATION,71,X,Poison,Other Crime,1,No,
27871,09-03-2023 12:00,03-07-2023 06:00,07-03-2023 14:20,Bangalore,134,VANDALISM,34,M,Poison,Other Crime,15,No,
27872,07-03-2023 16:00,03-07-2023 07:00,07-03-2023 21:47,Mumbai,169,EXTORTION,69,F,Other,Other Crime,19,Yes,06-04-2023 16:00
27873,09-03-2023 17:00,03-07-2023 08:00,08-03-2023 06:11,Indore,218,ILLEGAL POSSESSION,70,M,Other,Other Crime,1,Yes,21-04-2023 17:00
27874,07-03-2023 20:00,03-07-2023 09:00,07-03-2023 14:52,Mumbai,160,FIREARM OFFENSE,30,F,Knife,Fire Accident,14,No,
27875,10-03-2023 07:00,03-07-2023 10:00,07-03-2023 22:00,Chennai,145,ASSAULT,16,X,Poison,Violent Crime,1,Yes,26-04-2023 07:00
27876,10-03-2023 09:00,03-07-2023 11:00,08-03-2023 09:36,Mumbai,120,ARSON,63,X,Knife,Fire Accident,10,No,
27877,08-03-2023 05:00,03-07-2023 12:00,08-03-2023 11:32,Nagpur,297,EXTORTION,27,F,Explosives,Other Crime,17,No,
27878,07-03-2023 23:00,03-07-2023 13:00,08-03-2023 10:51,Indore,496,ASSAULT,51,X,Other,Violent Crime,17,Yes,24-04-2023 23:00
27879,10-03-2023 05:00,03-07-2023 14:00,08-03-2023 07:57,Delhi,153,SHOPLIFTING,47,M,Explosives,Other Crime,14,No,
27880,08-03-2023 03:00,03-07-2023 15:00,07-03-2023 19:47,Ahmedabad,154,FRAUD,36,F,Blunt Object,Other Crime,17,No,
27881,10-03-2023 05:00,03-07-2023 16:00,08-03-2023 09:12,Mumbai,408,TRAFFIC VIOLATION,61,F,Poison,Traffic Fatality,6,Yes,22-03-2023 05:00
27882,10-03-2023 16:00,03-07-2023 17:00,08-03-2023 05:57,Kolkata,520,VANDALISM,43,M,Firearm,Other Crime,2,No,
27883,09-03-2023 20:00,03-07-2023 18:00,08-03-2023 10:27,Pune,173,IDENTITY THEFT,42,X,Poison,Violent Crime,9,Yes,20-03-2023 20:00
27884,09-03-2023 10:00,03-07-2023 19:00,08-03-2023 18:48,Mumbai,162,KIDNAPPING,32,X,Explosives,Other Crime,8,Yes,27-05-2023 10:00
27885,09-03-2023 00:00,03-07-2023 20:00,08-03-2023 15:46,Kanpur,424,ARSON,13,F,Explosives,Fire Accident,3,No,
27886,08-03-2023 13:00,03-07-2023 21:00,08-03-2023 11:00,Mumbai,472,VEHICLE - STOLEN,35,F,Other,Violent Crime,11,Yes,14-05-2023 13:00
27887,09-03-2023 05:00,03-07-2023 22:00,08-03-2023 03:55,Mumbai,256,SEXUAL ASSAULT,31,X,Blunt Object,Violent Crime,12,Yes,25-10-2023 05:00
27888,10-03-2023 18:00,03-07-2023 23:00,08-03-2023 15:10,Hyderabad,529,ILLEGAL POSSESSION,25,M,Firearm,Other Crime,19,No,
27889,10-03-2023 00:00,03-08-2023 00:00,08-03-2023 23:08,Thane,536,FIREARM OFFENSE,48,M,Explosives,Fire Accident,4,No,
27890,09-03-2023 15:00,03-08-2023 01:00,08-03-2023 10:04,Bangalore,597,VEHICLE - STOLEN,53,X,Blunt Object,Violent Crime,18,No,
27891,09-03-2023 05:00,03-08-2023 02:00,08-03-2023 22:15,Delhi,405,ILLEGAL POSSESSION,56,F,Explosives,Other Crime,7,No,
27892,10-03-2023 20:00,03-08-2023 03:00,08-03-2023 18:58,Delhi,346,SEXUAL ASSAULT,75,M,Other,Violent Crime,9,No,
27893,08-03-2023 11:00,03-08-2023 04:00,08-03-2023 12:50,Ludhiana,494,ILLEGAL POSSESSION,31,M,Poison,Other Crime,18,Yes,26-04-2023 11:00
27894,08-03-2023 21:00,03-08-2023 05:00,09-03-2023 02:16,Pune,214,FIREARM OFFENSE,56,F,None,Fire Accident,1,No,
27895,10-03-2023 09:00,03-08-2023 06:00,09-03-2023 01:32,Jaipur,275,PUBLIC INTOXICATION,66,M,Explosives,Other Crime,15,No,
27896,08-03-2023 17:00,03-08-2023 07:00,09-03-2023 06:58,Delhi,286,ARSON,59,F,Explosives,Fire Accident,3,Yes,19-04-2023 17:00
